codigo_imovel,endereco,bairro,tipo_imovel,area_total,quartos,banheiros,vagas_garagem,ano_construcao,preco
1561,"Rua B, 59",Centro,Sobrado,294.24,1,3,1,1972,345306.19
6390,"Rua B, 24",Vila,Apartamento,230.6,2,3,1,1964,705714.05
7938,"Rua B, 50",Centro,Casa,118.61,2,3,0,2015,374560.49
3058,"Rua C, 23",Vila,Sobrado,265.47,3,3,2,1960,334525.62
7017,"Rua A, 58",Centro,Sobrado,289.31,2,1,0,2019,959416.42
8208,"Rua C, 42",Centro,Sobrado,116.23,5,2,1,2007,672524.78
1793,"Rua C, 7",Centro,Sobrado,72.53,3,1,2,1993,306108.29
5700,"Rua B, 43",Vila,Casa,65.62,2,2,2,1968,590436.17
5506,"Rua B, 51",Centro,Apartamento,174.36,5,2,2,2007,878850.3
5735,"Rua B, 12",Vila,Apartamento,104.24,3,1,1,2000,654889.07
7835,"Rua A, 19",Centro,Sobrado,208.3,3,1,0,2004,504829.7
1281,"Rua A, 97",Vila,Sobrado,206.93,1,3,1,2004,585659.92
3981,"Rua A, 9",Vila,Sobrado,83.58,1,2,0,1997,494304.21
2893,"Rua C, 51",Centro,Sobrado,84.71,1,1,0,2003,206037.16
8178,"Rua A, 11",Vila,Apartamento,191.68,3,3,2,2006,602009.15
3449,"Rua C, 31",Centro,Apartamento,244.67,4,3,0,1960,590318.15
6924,"Rua C, 12",Centro,Casa,233.71,4,1,1,1988,360733.46
9778,"Rua C, 69",Bairro Novo,Sobrado,204.4,3,2,1,1994,883953.67
7567,"Rua A, 19",Vila,Casa,134.97,3,2,0,1993,687177.54
8843,"Rua B, 78",Bairro Novo,Casa,287.79,2,1,1,1977,938954.99
2280,"Rua C, 92",Bairro Novo,Casa,218.05,5,2,0,2004,545701.09
3343,"Rua C, 89",Centro,Sobrado,108.25,1,3,0,1960,205511.03
5476,"Rua C, 40",Centro,Apartamento,293.38,5,3,0,1966,509392.23
8949,"Rua C, 25",Vila,Sobrado,114.06,2,2,0,1986,547875.42
4869,"Rua A, 78",Centro,Casa,124.9,1,3,2,2008,393810.18
2863,"Rua A, 61",Bairro Novo,Casa,103.7,3,2,1,1990,934596.67
3408,"Rua A, 73",Centro,Apartamento,60.63,3,2,2,2013,698915.39
8964,"Rua A, 72",Bairro Novo,Apartamento,59.84,4,2,1,1950,727746.74
5578,"Rua A, 86",Centro,Casa,155.55,4,1,2,2017,726104.1
1824,"Rua C, 10",Vila,Sobrado,238.09,3,1,1,1979,667878.03
5371,"Rua A, 2",Vila,Apartamento,298.24,4,2,2,1987,183297.57
9736,"Rua C, 79",Centro,Apartamento,93.41,5,3,2,1967,532567.62
9127,"Rua A, 18",Bairro Novo,Apartamento,179.88,4,3,2,1989,777177.92
6840,"Rua A, 13",Centro,Apartamento,88.83,1,1,2,2018,559402.76
6182,"Rua C, 64",Vila,Apartamento,296.2,2,2,0,1980,962651.37
4674,"Rua A, 90",Bairro Novo,Sobrado,263.6,5,2,1,2006,361161.9
8174,"Rua B, 49",Bairro Novo,Apartamento,221.33,5,2,0,2014,117641.3
1521,"Rua A, 30",Centro,Sobrado,127.26,1,2,2,1991,132693.46
9504,"Rua C, 75",Vila,Sobrado,273.55,5,3,2,1979,991549.55
3617,"Rua B, 29",Centro,Casa,110.12,3,1,0,2018,724077.01
4631,"Rua C, 35",Bairro Novo,Apartamento,89.1,5,2,1,1973,118727.8
9062,"Rua B, 24",Bairro Novo,Casa,115.09,1,1,2,2014,866881.87
8791,"Rua C, 68",Bairro Novo,Sobrado,62.52,4,1,1,1978,552202.49
7611,"Rua B, 92",Bairro Novo,Sobrado,116.62,4,2,0,1986,147588.83
1291,"Rua C, 31",Vila,Apartamento,91.92,5,2,2,2013,707246.9
7320,"Rua B, 17",Centro,Casa,294.09,3,1,2,1965,876341.13
1074,"Rua B, 36",Vila,Apartamento,248.82,2,3,0,1981,135542.39
8844,"Rua C, 6",Centro,Casa,172.75,2,3,2,1981,662794.36
5006,"Rua A, 51",Bairro Novo,Apartamento,276.19,4,1,1,2016,273032.12
9797,"Rua B, 100",Bairro Novo,Casa,214.13,1,3,2,1990,127166.42
6506,"Rua C, 95",Bairro Novo,Apartamento,299.05,1,1,2,2003,394386.65
1590,"Rua A, 42",Vila,Casa,78.86,2,2,2,1964,605309.74
6355,"Rua C, 100",Centro,Apartamento,185.54,4,2,0,1984,786973.89
3732,"Rua A, 8",Vila,Casa,82.22,3,1,1,1957,911526.5
1063,"Rua B, 46",Vila,Sobrado,84.47,1,3,0,1990,367527.01
1968,"Rua C, 56",Centro,Casa,185.59,5,2,0,1979,793399.71
6767,"Rua C, 56",Vila,Apartamento,65.78,2,3,0,1976,715762.77
8941,"Rua A, 24",Vila,Casa,238.07,5,1,1,1951,754879.52
4939,"Rua A, 40",Centro,Apartamento,145.01,2,2,2,1958,729736.42
7247,"Rua B, 50",Vila,Casa,85.3,5,3,1,1969,994557.83
7078,"Rua B, 56",Centro,Sobrado,81.01,3,1,2,2009,738945.82
9714,"Rua B, 58",Vila,Apartamento,128.14,2,3,1,1961,763066.53
4044,"Rua B, 95",Centro,Apartamento,293.41,4,1,0,1963,138714.42
5250,"Rua B, 42",Centro,Apartamento,293.32,3,2,2,1989,132764.09
2324,"Rua B, 80",Centro,Sobrado,145.51,4,2,0,1961,383800.24
4152,"Rua C, 2",Bairro Novo,Casa,197.06,5,1,0,1980,213916.85
4681,"Rua B, 17",Vila,Apartamento,149.59,4,2,1,2016,381549.18
7935,"Rua A, 8",Bairro Novo,Apartamento,52.14,5,1,2,1954,360717.51
2335,"Rua C, 8",Bairro Novo,Casa,61.55,4,2,0,1965,252428.28
7594,"Rua A, 9",Centro,Sobrado,239.06,5,2,0,1950,139660.24
5929,"Rua B, 100",Bairro Novo,Apartamento,291.24,2,1,0,1984,599519.47
4957,"Rua C, 75",Bairro Novo,Sobrado,205.21,5,1,2,2008,856796.06
6069,"Rua B, 64",Bairro Novo,Sobrado,172.9,5,1,2,1988,167482.65
8876,"Rua B, 96",Bairro Novo,Casa,92.98,3,3,1,1991,228366.68
5860,"Rua C, 76",Bairro Novo,Apartamento,142.82,4,3,0,1988,146263.54
1586,"Rua A, 25",Centro,Apartamento,281.53,5,1,1,2019,329109.54
8959,"Rua A, 1",Vila,Sobrado,66.64,4,1,0,2009,691186.31
2741,"Rua C, 39",Centro,Casa,82.64,3,2,2,1974,168280.37
1554,"Rua B, 10",Centro,Apartamento,110.47,4,3,1,2003,248763.19
7153,"Rua B, 22",Centro,Sobrado,250.84,2,2,1,2007,381339.29
5457,"Rua B, 94",Centro,Casa,196.95,2,2,0,2013,630906.83
6346,"Rua C, 45",Centro,Sobrado,216.91,4,3,1,2005,558291.6
1555,"Rua A, 94",Centro,Casa,135.02,4,3,0,1993,266822.29
2223,"Rua C, 54",Bairro Novo,Casa,52.86,5,3,0,1991,789121.16
1938,"Rua A, 34",Centro,Apartamento,197.1,5,1,1,1971,682959.33
8328,"Rua B, 36",Bairro Novo,Apartamento,131.35,3,2,2,1985,388586.49
5701,"Rua A, 53",Bairro Novo,Apartamento,52.34,5,3,1,2007,979051.3
1775,"Rua A, 4",Vila,Casa,101.3,4,2,2,2013,482939.94
5743,"Rua B, 88",Centro,Apartamento,84.75,1,2,2,1978,436843.5
1180,"Rua B, 55",Vila,Casa,265.46,2,2,1,1995,857496.57
8326,"Rua B, 92",Centro,Sobrado,52.16,3,2,0,1999,119476.8
9572,"Rua B, 69",Bairro Novo,Sobrado,156.73,5,3,2,1981,996017.09
9572,"Rua B, 22",Centro,Apartamento,226.89,1,2,2,2015,977411.4
5334,"Rua A, 97",Vila,Sobrado,50.65,5,3,2,1971,509269.07
9307,"Rua C, 44",Vila,Sobrado,263.68,1,3,2,1998,458097.54
8030,"Rua C, 35",Centro,Casa,197.42,4,3,2,2013,402441.71
3283,"Rua A, 14",Bairro Novo,Casa,130.04,4,2,1,1964,302567.65
8592,"Rua A, 62",Vila,Casa,131.2,3,2,2,1975,813557.45
8492,"Rua B, 46",Bairro Novo,Apartamento,164.7,3,3,2,2001,700703.81
4567,"Rua B, 21",Vila,Casa,89.41,3,3,0,1986,404520.84
9989,"Rua A, 42",Centro,Sobrado,270.23,2,3,2,1974,948502.26
4151,"Rua A, 88",Bairro Novo,Casa,278.68,2,1,2,1992,171662.71
8137,"Rua C, 11",Centro,Casa,169.9,4,1,1,1992,625167.25
5342,"Rua A, 53",Vila,Apartamento,90.2,5,2,0,2008,285943.96
2981,"Rua B, 55",Centro,Sobrado,223.72,4,2,0,1951,760668.15
7944,"Rua C, 57",Bairro Novo,Sobrado,136.18,4,1,2,1993,190649.82
7185,"Rua A, 9",Bairro Novo,Sobrado,260.95,1,1,1,1972,489969.67
8391,"Rua A, 74",Vila,Apartamento,124.04,3,1,2,1952,875164.26
4072,"Rua A, 51",Centro,Sobrado,234.79,2,1,1,2014,186947.82
9892,"Rua B, 60",Centro,Apartamento,269.71,2,2,1,1970,605663.25
7826,"Rua C, 78",Bairro Novo,Casa,71.24,4,3,1,2010,291388.76
4315,"Rua A, 87",Vila,Sobrado,279.42,1,2,0,2007,344149.71
7647,"Rua B, 74",Centro,Casa,248.77,4,2,2,1963,797302.37
5455,"Rua C, 68",Centro,Sobrado,276.45,5,1,1,1959,565974.68
5821,"Rua B, 28",Vila,Sobrado,173.08,2,2,2,2017,891906.31
3455,"Rua C, 16",Vila,Apartamento,235.81,5,2,0,1982,575657.61
9939,"Rua C, 17",Bairro Novo,Casa,250.24,1,3,2,2005,217084.63
5832,"Rua A, 52",Centro,Sobrado,219.53,5,3,2,1976,272364.33
4070,"Rua A, 64",Centro,Apartamento,268.09,4,3,0,1983,592653.57
8190,"Rua B, 18",Bairro Novo,Sobrado,297.83,1,3,2,1965,481044.91
1785,"Rua A, 32",Bairro Novo,Apartamento,52.94,4,1,2,1978,860529.59
4048,"Rua B, 83",Centro,Apartamento,275.09,5,1,2,1983,214536.19
3419,"Rua B, 42",Centro,Casa,206.36,2,3,1,1977,919187.81
8630,"Rua A, 71",Centro,Casa,120.67,3,2,0,2012,513503.52
8559,"Rua B, 3",Bairro Novo,Sobrado,115.47,5,1,0,2011,984938.54
3032,"Rua A, 74",Centro,Casa,58.0,1,1,2,1991,652167.95
6934,"Rua C, 9",Vila,Apartamento,58.93,4,1,0,2009,674117.72
7967,"Rua B, 61",Centro,Casa,216.68,4,2,0,2020,473566.77
4085,"Rua C, 10",Centro,Apartamento,108.68,4,1,2,1992,861248.59
3232,"Rua A, 93",Centro,Casa,178.6,5,1,1,1956,422722.16
1535,"Rua B, 84",Bairro Novo,Apartamento,178.77,1,3,1,1971,195650.74
4614,"Rua A, 1",Bairro Novo,Apartamento,140.29,3,2,0,1998,126660.55
7798,"Rua B, 35",Bairro Novo,Sobrado,154.24,2,3,2,1997,287099.07
4783,"Rua A, 37",Bairro Novo,Apartamento,187.89,3,2,0,1954,619205.59
1082,"Rua B, 61",Bairro Novo,Casa,262.63,3,1,0,1991,548722.82
8555,"Rua B, 54",Centro,Apartamento,107.87,2,1,1,1958,663859.21
6114,"Rua C, 79",Bairro Novo,Casa,246.19,2,3,1,1984,993122.34
9456,"Rua A, 73",Bairro Novo,Apartamento,267.94,3,1,1,1968,413320.31
3075,"Rua A, 85",Bairro Novo,Apartamento,243.51,2,1,0,1958,999713.1
2880,"Rua B, 62",Vila,Apartamento,276.74,5,3,2,1983,544171.85
7747,"Rua B, 58",Bairro Novo,Apartamento,206.82,2,3,1,2005,889497.16
3203,"Rua B, 63",Bairro Novo,Casa,177.96,2,2,2,1968,243385.63
8366,"Rua B, 64",Bairro Novo,Sobrado,58.92,3,3,0,1974,906378.99
3186,"Rua B, 5",Vila,Sobrado,199.34,4,1,0,1979,151697.03
5547,"Rua B, 54",Bairro Novo,Casa,91.56,2,1,0,1976,249366.29
1095,"Rua A, 70",Vila,Apartamento,117.02,4,2,0,1999,457345.52
1305,"Rua A, 35",Centro,Casa,134.37,2,1,0,2015,811339.61
6611,"Rua B, 86",Bairro Novo,Apartamento,298.75,2,1,2,2001,763396.58
9860,"Rua C, 73",Centro,Apartamento,103.69,5,2,2,1954,374863.28
6985,"Rua A, 19",Centro,Casa,102.04,4,1,0,1966,207608.13
3782,"Rua B, 58",Centro,Apartamento,243.33,4,2,0,1954,223092.29
5194,"Rua B, 76",Centro,Apartamento,117.04,2,3,2,1973,221805.89
3327,"Rua A, 17",Bairro Novo,Apartamento,93.41,3,2,0,2003,451733.9
9042,"Rua C, 15",Centro,Apartamento,248.71,4,2,0,2018,336071.18
5353,"Rua C, 2",Centro,Sobrado,91.57,5,3,2,1984,600545.37
2481,"Rua C, 18",Centro,Casa,68.53,1,3,1,1976,986700.33
7223,"Rua C, 26",Bairro Novo,Apartamento,117.99,2,3,1,1957,181849.71
5228,"Rua B, 79",Centro,Casa,224.47,2,3,0,1966,101540.15
1816,"Rua A, 32",Centro,Sobrado,98.93,1,3,2,1977,909431.78
1403,"Rua C, 96",Vila,Casa,109.42,2,2,0,2003,144513.14
2693,"Rua B, 46",Bairro Novo,Sobrado,234.53,1,1,0,1998,782312.23
3157,"Rua B, 73",Centro,Casa,266.09,1,1,1,2006,903551.55
3448,"Rua B, 75",Bairro Novo,Casa,141.75,4,3,2,1996,756620.77
5670,"Rua C, 98",Bairro Novo,Sobrado,175.45,2,1,0,1994,238410.67
9106,"Rua A, 33",Bairro Novo,Sobrado,293.39,3,3,0,1978,626241.29
7872,"Rua B, 54",Vila,Casa,165.81,5,2,2,1960,962761.67
6855,"Rua B, 63",Vila,Casa,57.14,2,2,1,2018,681313.29
8736,"Rua A, 48",Centro,Sobrado,202.43,2,1,0,2000,658452.41
7087,"Rua C, 90",Centro,Apartamento,236.54,1,3,1,1991,243216.24
8921,"Rua B, 17",Bairro Novo,Sobrado,199.42,5,3,2,1996,478030.69
8276,"Rua A, 87",Centro,Apartamento,198.15,2,1,1,2007,514737.88
4417,"Rua A, 66",Centro,Casa,180.27,4,3,1,1991,332710.1
2525,"Rua C, 45",Centro,Apartamento,75.21,5,1,1,2014,787515.85
3538,"Rua C, 18",Bairro Novo,Apartamento,239.08,2,3,0,1965,460699.55
4763,"Rua B, 69",Bairro Novo,Casa,295.89,1,1,0,1990,377134.94
2227,"Rua C, 40",Centro,Apartamento,286.16,5,3,2,1955,985359.38
4001,"Rua B, 48",Bairro Novo,Apartamento,80.4,2,1,1,1993,113047.62
2712,"Rua A, 49",Vila,Apartamento,274.09,2,1,1,2010,306599.34
9700,"Rua B, 25",Centro,Casa,113.27,2,2,1,1964,480504.55
6107,"Rua B, 86",Centro,Sobrado,224.97,3,2,0,1965,561155.39
9552,"Rua B, 40",Bairro Novo,Apartamento,296.47,5,3,1,1972,131926.99
9892,"Rua B, 48",Bairro Novo,Sobrado,94.96,5,1,0,1985,704443.02
6107,"Rua B, 18",Bairro Novo,Sobrado,87.33,4,1,2,1952,159820.69
9306,"Rua C, 68",Bairro Novo,Casa,258.75,1,3,2,2020,314630.82
8435,"Rua B, 16",Centro,Sobrado,221.36,3,2,1,1950,815545.52
4549,"Rua A, 25",Centro,Apartamento,61.95,3,1,2,1994,421559.52
2980,"Rua A, 40",Bairro Novo,Casa,53.46,3,2,0,1971,250144.73
9122,"Rua B, 5",Centro,Casa,248.82,1,1,2,1982,397252.87
1660,"Rua A, 67",Vila,Apartamento,170.57,4,1,1,1980,332109.66
5005,"Rua A, 51",Vila,Sobrado,270.74,3,3,0,1972,953480.76
7969,"Rua C, 78",Bairro Novo,Casa,230.84,1,3,1,1978,927725.55
4080,"Rua B, 62",Bairro Novo,Casa,287.1,4,2,2,1974,994307.85
5105,"Rua A, 61",Bairro Novo,Casa,282.66,5,2,1,1991,763538.41
2413,"Rua C, 58",Bairro Novo,Casa,292.15,4,3,1,2009,401373.72
9829,"Rua B, 21",Vila,Apartamento,188.7,5,1,0,2019,498798.8
8063,"Rua B, 52",Vila,Apartamento,203.87,2,2,0,2003,436564.98
7349,"Rua A, 36",Bairro Novo,Sobrado,140.21,5,3,2,2013,242058.64
8627,"Rua C, 98",Bairro Novo,Apartamento,114.35,1,3,2,1983,796182.39
5428,"Rua A, 89",Centro,Casa,281.71,5,3,2,2012,152670.39
7447,"Rua C, 44",Bairro Novo,Sobrado,206.12,5,2,1,1982,882445.15
1827,"Rua C, 44",Vila,Casa,202.51,2,3,0,1989,658427.47
1866,"Rua B, 18",Bairro Novo,Apartamento,76.02,1,2,0,2004,652774.8
6147,"Rua A, 100",Centro,Sobrado,114.16,4,2,2,1977,574792.12
2447,"Rua A, 52",Centro,Apartamento,109.91,4,1,1,2011,635535.76
1628,"Rua C, 77",Bairro Novo,Sobrado,245.32,3,2,1,1990,692155.77
6828,"Rua B, 5",Bairro Novo,Sobrado,85.1,1,2,2,1965,570207.08
5426,"Rua A, 16",Vila,Sobrado,111.74,2,3,1,1965,355941.43
8461,"Rua A, 84",Bairro Novo,Sobrado,84.24,3,3,0,2000,378973.67
7839,"Rua C, 36",Bairro Novo,Sobrado,69.51,1,3,1,2002,591568.95
8770,"Rua A, 29",Vila,Apartamento,227.82,2,1,2,1982,596984.12
6517,"Rua B, 76",Bairro Novo,Casa,72.75,5,2,0,1984,102535.71
9919,"Rua A, 1",Vila,Casa,144.78,5,3,2,1999,352317.47
4726,"Rua A, 53",Centro,Casa,182.19,5,3,2,2019,942159.34
4847,"Rua C, 45",Centro,Apartamento,123.18,1,2,0,1988,858577.69
5866,"Rua A, 83",Bairro Novo,Apartamento,174.13,3,3,2,1987,328114.17
4773,"Rua C, 89",Bairro Novo,Casa,115.22,5,1,1,1985,518415.63
6086,"Rua C, 96",Centro,Apartamento,230.74,3,1,0,1964,787601.93
2541,"Rua A, 45",Bairro Novo,Casa,102.52,3,1,0,2001,499309.96
1200,"Rua B, 84",Vila,Casa,66.28,5,3,2,1976,403740.1
7020,"Rua C, 94",Centro,Casa,113.81,5,1,0,1999,565038.16
7988,"Rua A, 65",Centro,Sobrado,221.44,4,3,1,1999,687751.18
4611,"Rua A, 70",Bairro Novo,Casa,162.51,2,1,1,2004,399999.9
1480,"Rua A, 83",Centro,Apartamento,197.08,4,2,1,1985,580605.15
5649,"Rua C, 38",Bairro Novo,Sobrado,112.57,2,2,1,1968,958893.47
6762,"Rua A, 51",Bairro Novo,Sobrado,146.94,3,1,0,2015,888613.04
4700,"Rua B, 12",Centro,Apartamento,258.96,4,3,2,1986,904887.69
4961,"Rua B, 9",Vila,Sobrado,76.89,3,1,1,1957,169229.53
9816,"Rua A, 89",Centro,Sobrado,264.97,1,1,1,1989,882256.56
8264,"Rua A, 12",Bairro Novo,Apartamento,260.66,5,3,2,1996,234106.59
9942,"Rua B, 41",Bairro Novo,Casa,93.04,3,2,2,1995,516484.31
5237,"Rua B, 24",Bairro Novo,Sobrado,255.56,3,2,1,2009,204503.84
5294,"Rua B, 45",Centro,Sobrado,130.83,4,3,0,1954,888813.25
8180,"Rua C, 96",Vila,Casa,259.38,3,1,2,1990,797925.94
4700,"Rua B, 82",Vila,Sobrado,240.73,2,2,2,1965,181418.35
8735,"Rua C, 15",Vila,Apartamento,220.89,5,1,0,1958,500713.42
3438,"Rua C, 14",Centro,Casa,234.57,1,1,1,1985,285660.87
6173,"Rua C, 78",Vila,Casa,185.03,5,2,1,2008,130432.17
3252,"Rua A, 5",Vila,Casa,146.35,3,1,1,2014,253955.65
7725,"Rua A, 49",Vila,Apartamento,140.02,3,1,1,2015,531708.8
5947,"Rua B, 18",Bairro Novo,Casa,66.39,3,1,2,1958,446767.64
6959,"Rua A, 94",Centro,Sobrado,229.2,3,3,0,1967,645606.17
9071,"Rua C, 13",Vila,Sobrado,205.0,2,1,2,1991,758354.82
5931,"Rua C, 36",Centro,Casa,89.56,5,1,2,1969,243581.65
6885,"Rua A, 51",Bairro Novo,Casa,101.61,3,1,2,1997,986112.39
7871,"Rua B, 99",Bairro Novo,Sobrado,222.45,1,3,1,1950,866924.5
6982,"Rua B, 23",Centro,Sobrado,242.15,1,3,2,1993,687885.29
1864,"Rua A, 15",Centro,Apartamento,197.99,1,2,1,2020,604320.84
4653,"Rua B, 70",Bairro Novo,Sobrado,189.01,4,2,2,1953,622316.36
1794,"Rua A, 21",Vila,Apartamento,55.52,2,3,2,1960,363595.04
2888,"Rua A, 7",Centro,Casa,135.55,4,1,0,1966,150899.92
6770,"Rua B, 43",Centro,Sobrado,276.22,5,2,1,1975,433555.43
7262,"Rua A, 50",Centro,Apartamento,278.21,4,2,1,1970,908764.37
5266,"Rua B, 98",Centro,Casa,66.06,3,1,1,2019,568252.2
3982,"Rua B, 49",Bairro Novo,Sobrado,290.4,4,1,1,1968,250942.33
5264,"Rua A, 71",Bairro Novo,Sobrado,204.12,5,3,2,1997,731218.21
5980,"Rua A, 93",Vila,Apartamento,254.54,2,1,1,1950,562450.88
3161,"Rua A, 77",Bairro Novo,Casa,94.02,1,3,0,1964,549651.35
2190,"Rua A, 90",Vila,Sobrado,179.49,2,3,2,1966,115934.54
2704,"Rua B, 16",Vila,Casa,58.55,1,3,1,1984,534178.22
9658,"Rua B, 96",Vila,Sobrado,180.22,1,1,1,1962,425563.1
1501,"Rua C, 100",Bairro Novo,Sobrado,139.5,4,2,2,1994,203664.77
5074,"Rua A, 55",Bairro Novo,Casa,190.32,5,3,2,1980,645371.88
5050,"Rua B, 38",Bairro Novo,Casa,110.04,2,2,2,1966,175718.63
1063,"Rua B, 75",Centro,Apartamento,111.26,2,3,2,1965,339907.59
1367,"Rua B, 50",Centro,Apartamento,281.59,2,3,1,2006,552911.62
4559,"Rua C, 53",Vila,Sobrado,102.71,2,3,1,1973,313075.0
4230,"Rua B, 68",Centro,Casa,252.28,4,1,0,2003,823869.36
3450,"Rua A, 8",Vila,Sobrado,261.4,4,2,2,1952,298337.78
5768,"Rua B, 11",Vila,Sobrado,226.07,5,2,2,1972,999970.39
2812,"Rua C, 34",Bairro Novo,Casa,257.96,2,1,2,1977,656463.84
1242,"Rua B, 32",Vila,Apartamento,251.81,1,1,1,1983,432945.89
1047,"Rua C, 45",Vila,Casa,191.57,5,2,0,1969,491104.56
6806,"Rua C, 21",Centro,Sobrado,180.19,4,1,2,1955,781660.66
1298,"Rua C, 50",Vila,Sobrado,145.07,5,3,1,1993,936413.49
6391,"Rua B, 30",Bairro Novo,Sobrado,277.81,3,1,0,1979,210154.75
3072,"Rua B, 8",Vila,Casa,152.79,1,3,0,2005,837073.41
7405,"Rua B, 79",Centro,Apartamento,243.6,2,3,1,1969,864775.56
6467,"Rua C, 28",Vila,Casa,219.85,1,1,0,1978,110167.16
7090,"Rua B, 46",Centro,Apartamento,287.5,3,3,1,1993,692999.06
4191,"Rua B, 62",Centro,Apartamento,95.42,1,2,0,1972,736673.38
2600,"Rua B, 55",Vila,Casa,99.54,3,3,0,1999,764659.22
6671,"Rua B, 39",Vila,Casa,266.84,5,1,1,1997,925024.06
8797,"Rua A, 85",Bairro Novo,Apartamento,178.61,4,1,1,2008,409542.75
6872,"Rua A, 60",Vila,Casa,247.72,3,1,2,1996,999344.19
3061,"Rua A, 54",Bairro Novo,Apartamento,54.7,3,1,1,2006,552176.69
3664,"Rua B, 66",Centro,Apartamento,148.96,4,3,2,1983,232682.38
8308,"Rua C, 59",Bairro Novo,Sobrado,209.9,4,1,1,2017,665763.72
2154,"Rua C, 44",Bairro Novo,Casa,60.15,1,2,1,1953,514208.17
8659,"Rua C, 1",Bairro Novo,Apartamento,258.64,1,1,2,1957,399315.62
8888,"Rua C, 70",Vila,Apartamento,149.0,5,2,2,1971,328754.92
1585,"Rua A, 54",Centro,Apartamento,50.4,2,1,0,1962,621645.72
5422,"Rua C, 53",Centro,Casa,156.07,5,1,2,2006,158207.83
8878,"Rua B, 72",Centro,Apartamento,194.15,4,3,0,1962,743270.55
5757,"Rua C, 50",Bairro Novo,Sobrado,205.62,4,3,0,2004,622394.05
2626,"Rua B, 26",Bairro Novo,Sobrado,185.64,5,3,0,1953,211201.12
8016,"Rua A, 22",Vila,Apartamento,82.71,2,1,1,1960,246720.57
4539,"Rua A, 73",Vila,Sobrado,158.31,2,3,0,1971,809665.53
9667,"Rua C, 74",Vila,Apartamento,158.23,4,2,2,1959,895371.35
6723,"Rua A, 40",Bairro Novo,Sobrado,77.63,3,1,2,1990,955419.9
6618,"Rua B, 31",Centro,Sobrado,180.15,1,1,2,1964,595919.76
9631,"Rua B, 93",Bairro Novo,Casa,138.97,3,2,1,2002,637505.85
7387,"Rua C, 4",Bairro Novo,Sobrado,290.58,5,2,0,1995,416587.33
7894,"Rua A, 8",Centro,Apartamento,74.69,3,2,0,1986,536376.73
3821,"Rua C, 36",Centro,Sobrado,126.15,3,2,2,1950,252299.73
8476,"Rua A, 24",Centro,Sobrado,50.42,2,3,2,1965,374627.44
8189,"Rua C, 15",Bairro Novo,Apartamento,292.24,1,2,1,1964,255812.23
5959,"Rua B, 68",Bairro Novo,Apartamento,259.85,4,2,0,1984,377918.55
6046,"Rua C, 86",Bairro Novo,Sobrado,79.86,1,2,0,1982,136913.84
5942,"Rua A, 49",Bairro Novo,Casa,276.64,1,2,1,1960,932293.34
2483,"Rua C, 69",Centro,Apartamento,174.93,5,1,1,2001,297674.5
7499,"Rua A, 21",Bairro Novo,Sobrado,56.23,2,3,2,1988,794286.49
1776,"Rua C, 82",Vila,Sobrado,195.44,5,1,2,1966,973380.29
2750,"Rua C, 60",Vila,Sobrado,185.29,2,3,1,1981,916364.93
4870,"Rua A, 26",Bairro Novo,Apartamento,55.56,2,2,2,1983,372063.31
6968,"Rua C, 5",Bairro Novo,Apartamento,194.04,3,1,0,1966,552659.22
6572,"Rua B, 84",Centro,Apartamento,155.93,3,3,2,1976,437858.91
