temperatura,vibracao,pressao,tempo_operacao,falha
74.42,4.81,34.46,140.0,1
83.03,2.36,,210.0,0
77.89,3.15,29.88,44.0,0
69.84,3.6,29.7,194.0,0
77.89,4.65,30.9,200.0,0
87.3,2.35,22.79,67.0,1
74.71,4.43,25.94,136.0,0
87.52,3.51,37.47,135.0,1
54.04,2.71,38.58,94.0,0
81.58,3.87,31.0,119.0,0
75.7,3.66,,106.0,0
,3.02,33.25,220.0,1
75.73,3.56,44.32,187.0,1
59.1,3.19,36.48,201.0,0
73.24,3.59,31.49,179.0,0
77.86,4.03,28.18,105.0,0
86.82,4.77,25.57,129.0,1
70.85,2.51,32.81,170.0,0
68.53,5.21,,101.0,1
70.99,1.94,26.31,179.0,0
82.32,3.38,29.41,140.0,0
77.63,3.97,27.67,135.0,0
70.76,3.72,38.75,178.0,0
79.11,3.0,35.53,168.0,0
139.40229372693125,12.556141583330358,31.97,136.0,0
82.75,3.11,,196.0,0
69.38,3.03,32.31,107.0,0
72.38,4.18,28.55,175.0,0
71.86,3.79,38.09,174.0,0
63.29,2.95,34.16,138.0,0
77.37,4.22,27.85,163.0,0
77.09,3.75,31.24,100.0,0
75.04,4.15,28.5,187.0,0
141.29977834991624,10.27033627180763,26.47,143.0,0
,2.84,35.7,129.0,0
,3.05,39.64,192.0,0
72.26,,26.41,122.0,0
68.58,,34.25,94.0,0
73.71,3.48,29.4,88.0,0
,3.59,,174.0,0
90.09,4.52,29.63,99.0,1
76.4,3.03,28.54,220.0,1
77.06,3.94,32.19,67.0,0
74.4,,28.68,218.0,0
59.65,3.33,33.08,158.0,0
,4.38,31.8,146.0,0
75.48,4.16,31.04,128.0,0
151.1435874544962,12.686408686387331,28.37,166.0,1
73.46,4.54,29.69,148.0,0
77.41,3.52,35.02,194.0,0
74.72,4.05,34.0,155.0,0
65.65,3.25,28.09,156.0,0
84.14,3.76,32.4,135.0,0
81.02,3.4,35.01,148.0,0
81.33,3.58,25.32,162.0,0
134.022724914626,11.904483921590174,34.17,82.0,0
86.22,2.85,29.35,96.0,1
63.79,5.17,34.28,180.0,1
79.69,2.7,28.95,157.0,0
92.52,2.53,24.78,143.0,1
67.08,4.43,25.49,151.0,0
70.47,4.13,32.19,164.0,0
75.8,4.0,33.04,128.0,0
,4.0,28.38,119.0,0
62.59,3.49,34.55,158.0,0
75.55,2.78,25.35,111.0,0
66.5,3.56,31.74,166.0,0
78.79,2.96,27.16,82.0,0
67.64,4.28,29.39,191.0,0
,3.38,32.19,169.0,1
68.73,2.84,,160.0,0
72.42,3.24,30.46,189.0,0
81.51,3.83,36.03,217.0,0
65.15,,29.69,191.0,0
76.82,2.84,35.34,76.0,0
85.46,3.69,27.48,99.0,1
62.14,3.7,34.12,125.0,0
76.48,,37.77,151.0,0
77.08,3.12,22.11,171.0,0
81.25,3.69,28.81,121.0,0
65.1,2.34,34.31,157.0,0
64.44,2.37,31.19,120.0,0
79.18,2.93,33.48,126.0,0
77.38,3.33,29.58,94.0,0
77.0,3.75,32.35,113.0,0
77.77,4.68,31.38,96.0,0
69.56,4.19,36.67,111.0,0
76.86,3.37,33.02,192.0,0
77.34,3.48,33.35,112.0,0
69.29,2.7,30.35,255.0,1
89.93,3.49,,170.0,1
78.79,3.27,30.27,157.0,0
65.47,3.76,33.58,116.0,0
80.25,2.84,30.32,178.0,0
67.2,3.92,33.16,127.0,0
81.3,,40.3,155.0,1
84.27,3.41,35.48,252.0,1
68.43,3.82,30.7,146.0,0
82.71,4.05,36.8,196.0,0
78.3,3.18,30.37,122.0,0
81.58,3.68,23.85,149.0,0
90.17,3.51,27.97,221.0,1
73.04,,24.52,125.0,0
68.97,2.88,30.59,222.0,1
67.88,3.52,32.07,178.0,0
68.47,3.9,38.71,128.0,0
74.38,4.66,33.31,175.0,0
77.73,4.27,31.12,189.0,0
77.21,5.22,35.32,175.0,1
81.62,2.89,23.16,87.0,0
75.1,4.2,32.94,121.0,0
168.0213904693417,12.63287432894565,35.08,140.0,1
72.88,,26.09,147.0,1
96.76,2.85,36.58,175.0,1
80.01,,33.35,157.0,0
,3.02,30.34,97.0,0
66.43,1.8,34.53,165.0,0
78.86,3.08,41.08,174.0,1
73.21,2.89,32.73,172.0,0
124.1654305647656,10.331013391407385,32.99,193.0,0
78.79,3.77,30.16,183.0,0
74.42,5.0,28.6,168.0,1
68.23,4.26,35.32,147.0,0
62.88,,28.58,84.0,0
71.43,2.78,32.29,167.0,0
81.85,3.89,,158.0,0
76.71,2.44,33.92,161.0,0
65.03,4.97,33.33,99.0,1
76.39,4.44,36.15,107.0,0
78.08,3.12,29.96,192.0,0
67.93,2.13,30.92,148.0,0
76.23,4.58,28.08,177.0,0
,3.41,30.22,151.0,0
65.86,4.49,33.51,151.0,0
